tree-simpleelimination-atbeginning.dqbf19,tree-simpleelimination-varsinconjuncts.dqbf19
901.5862394,901.5956426
901.6806534,901.6770081
901.6899774,901.6885339
901.6767214,901.6868779
901.6914722,901.6901999
901.6784176,901.6793278
2.062888949,2.087736939
0.417513682,0.442408313
31.07909805,30.67548282
29.43533316,29.33475267
0.158186969,0.161675412
0.20976487,0.222577082
901.6939309,901.6783186
901.6862741,901.6902192
901.6841506,901.6847354
901.5808121,901.5832707
901.6754661,901.6972847
901.678817,901.6831049
901.690555,901.6782262
901.9432141,901.8262369
901.8897039,901.6817344
901.5894599,901.5852376
901.676108,901.6968925
901.6830902,901.6830827
901.6910868,901.6754137
901.6948786,901.6871824
901.6826842,901.6910994
130.1753963,129.5334371
901.673574,901.6857633
901.6812839,901.6789815
901.6236367,901.6256378
0.560112294,901.6679306
901.6947754,55.07558116
901.6843622,34.95449115
0.025211772,0.036264832
0.044749634,0.111120838
0.045170566,0.109134686
0.061106517,0.215343283
10.96462748,5.108710708
901.694958,901.6920364
901.6735222,901.6825635
901.6888874,901.6847378
901.5790094,901.6920148
901.6848568,901.5796508
901.6799074,901.6775612
901.6895348,901.6923676
901.6768667,901.6864853
901.6805896,901.6833515
901.5764133,901.6927828
901.6930259,901.5804306
901.6782514,901.6777086
901.6934153,901.6928117
901.6819422,901.6773004
901.6881367,901.6872998
901.5767682,901.6907568
901.6955594,901.5842428
901.8987359,901.6805683
901.6929952,901.6877193
901.6812977,901.6848186
901.6842582,901.6790705
901.5812094,901.692133
901.6936798,901.5807369
901.7768291,901.6798812
901.6928478,901.6960781
901.6768945,901.6811921
901.6787769,901.6822542
901.571337,901.6924125
901.6934077,901.5765468
901.6850063,901.6773191
901.692578,901.6921457
901.68133,901.6829842
901.678902,901.6783802
901.5759418,901.6886976
901.6873206,901.5736725
901.7979348,901.6723572
901.6858618,901.6926706
901.6852062,901.6853606
901.7119147,901.7070945
31.63496966,31.57981727
34.45991021,34.02948561
0.041051345,0.112556394
155.782186,901.6876303
30.95130581,30.85084195
0.033097092,0.076499103
33.15708222,33.23232465
31.99624942,31.91147344
0.121268385,0.200673896
0.125173159,0.203394897
15.51417192,16.97470731
901.5858565,901.5880914
901.6971844,901.6810623
901.6761287,901.6821881
901.690354,901.6820533
101.208818,100.855235
46.89256768,31.08739861
13.15515468,14.0228674
19.29772238,19.3867218
19.75431182,19.9794698
0.129267873,0.13272691
901.7220028,901.7190735
901.8017501,901.8188092
41.00261076,43.88770639
19.74131622,19.69259005
21.0816591,21.13716174
0.193232409,0.192831286
0.161194391,0.164782743
12.90487307,14.22511862
21.15789769,21.4415555
17.98353078,18.05107065
18.11173129,17.99519411
19.71264625,19.61569675
16.83073415,16.78250582
19.21156626,19.07477739
18.47167464,18.32335771
0.677651968,0.717292478
0.685623905,0.713344718
0.513192561,0.636392237
0.501545308,0.556930204
0.669688543,1.073482063
1.366036054,1.449882836
0.513431359,0.565086945
0.473489539,0.509100812
1.36998019,1.445571689
0.189242708,0.192850955
0.337027624,0.340859235
0.361345086,0.384920882
0.345230338,0.346490909
0.337012468,0.352913569
0.32130288,0.324581743
0.985841675,0.99715444
0.245298502,0.252846788
1.369819952,2.017962504
0.881132651,2.382021367
1.55424208,1.809734161
1.049769065,1.145267278
0.225191638,0.244874011
0.453397894,0.472906384
0.248989398,0.260929343
0.613508939,0.632893454
0.069100556,0.072760143
0.725326762,0.769345669
1.264908322,1.18933101
0.709314192,0.733000845
0.729154843,0.757165005
0.937642827,0.993598551
1.373713427,1.677849606
0.993419483,1.225304255
29.2944598,29.29023314
19.36470545,19.35210685
1.089609866,1.089419837
1.048963953,1.05340324
19.32046591,19.34818239
1.021760683,1.021526399
1.00562856,1.013250002
0.961746175,0.965249807
29.23071032,29.48268048
50.17816098,50.56743399
0.947697255,0.961341336
1.357637617,1.369494905
28.99048525,29.28661921
1.017395037,1.013311961
0.056983891,0.060749774
0.06111061,0.072739524
0.056913065,0.056737448
0.056916315,0.060747995
0.057119171,0.056848146
0.055430398,0.056559254
0.069024118,0.068851386
0.068777993,0.088736008
0.065057052,0.08474339
901.6910012,901.5921112
901.6910867,901.6771446
901.6881473,901.6930035
901.5878836,901.6811123
901.6811117,901.6866992
901.6773677,901.6808015
901.6830057,901.5874354
901.6930007,901.6766384
901.6828964,901.6928618
901.5915723,901.6853421
901.6855204,901.6799384
901.6778884,901.6827671
901.6786586,901.5816091
901.6886124,901.6843332
901.69071,901.6937115
901.586611,901.6892196
16.30498007,30.08673356
44.43393568,49.92514174
9.203460795,12.2095564
14.01520302,16.10855359
32.16479735,120.9337575
58.28028108,142.9461701
26.29251506,128.0028708
45.34944654,52.13501437
901.6836045,901.6826931
50.97872759,80.62062613
901.6812333,901.6924987
577.7924279,687.6906143
105.0993195,230.6254347
774.0781855,890.5086913
901.5737643,901.6757164
9.808339771,10.05612059
21.30096181,22.1129285
7.802835603,8.410894807
26.82902167,27.96502853
25.3398901,26.7083635
76.14974289,81.80500004
6.688086782,7.374004333
56.27054951,57.94746625
29.33875437,31.51190499
11.68638125,12.55782649
31.41227908,34.9110516
101.3523934,107.6316877
84.14301977,91.64052377
151.1249356,160.4079448
12.53150139,14.88502803
159.8236616,160.1228425
23.53816656,25.64748469
29.73880514,32.79185258
34.01001968,36.75794351
11.66482436,13.1983281
3.031457762,3.06690539
1.710283167,1.805501402
1.746412684,1.814037745
3.636272526,3.774542226
2.675458675,2.778692614
1.492226881,1.583727323
2.450860518,2.610646752
11.23404291,11.53869691
1.782602519,1.943023601
2.375014194,2.519577955
2.154933382,2.322342135
4.232339659,4.435807982
3.847855373,4.15886255
2.290768148,2.466410649
19.28750727,19.94001421
10.2365223,10.99655595
8.42298964,8.879128978
8.302879428,12.61097723
6.609901079,7.237900889
5.149390443,6.301098483
12.89858957,19.06342673
24.73525666,25.84396291
25.79997406,26.14383877
120.6764425,122.5418882
101.1200001,102.4087637