dCAQE 4.0.1,HQS 2,DQBDD 1.1
182.1519732,0.487495026,2.127071497
9.263568138,0.537794054,0.421117186
900,0.763442215,9.712428205
900,0.537174469,0.449904123
900,0.947049047,900
900,1.238518088,900
900,0.990333123,0.954156217
900,1.410191904,900
900,1.11014449,1.13529854
900,1.94671463,900
900,1.434482665,1.558310985
0.139877944,0.239083474,0.161653745
0.867739583,0.542348743,0.745982367
1.337571632,0.355127078,0.213686033
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
1.392386946,1.470328649,0.562151266
1.333239566,1.590359582,0.566526278
0.074776064,23.02883961,68.31994565
0.130729195,23.12267358,69.48873974
0.059801815,88.27618824,900
5.375747062,87.85952617,900
900,900,900
753.8147359,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
0.019743337,0.221178385,0.030105797
0.018819382,0.165457203,0.030613127
0.026853803,0.23740553,0.035008924
0.023747982,0.301806877,0.034771866
0.028113303,0.405702877,0.046958756
0.030838751,0.429605681,0.050612518
0.050925622,0.76631287,0.066791691
0.074416254,0.75385142,0.063105067
0.05661169,1.930815628,1.54090509
0.056656216,2.026658705,1.522913907
0.101789383,6.262858947,10.89838993
0.050760464,6.257781158,10.90186285
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
0.154341114,0.261163982,0.046501422
0.13496327,0.315435298,0.042300696
31.59425519,900,21.27789367
900,900,20.94174768
58.52417961,900,262.6837257
900,900,151.3058453
0.126861049,900,900
0.338566194,900,900
0.196040755,900,900
121.1986666,900,900
15.43953969,900,900
178.3091339,900,900
900,900,900
0.363495156,900,900
900,900,900
9.400757872,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
0.018273737,0.286317928,0.035098541
0.025002185,0.266595773,0.038526357
0.074606491,22.54564969,8.216511365
0.067545743,28.55671429,8.179670887
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
900,900,900
0.055238815,0.61691781,0.129566787
0.047835491,0.693321929,0.129401138
0.554698829,79.83579581,15.39356346
0.193900681,113.485365,11.79818274
900,900,900
900,900,900